[2026-07-29 18:03:06] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.24, activeSessions: 4191, failedAuthentications: 4
[2026-07-29 18:03:16] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.63, activeSessions: 4212, failedAuthentications: 4
[2026-07-29 18:03:26] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.12, activeSessions: 4180, failedAuthentications: 4
[2026-07-29 18:03:36] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.36, activeSessions: 4176, failedAuthentications: 4
[2026-07-29 18:03:46] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.71, activeSessions: 4178, failedAuthentications: 4
[2026-07-29 18:03:57] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.93, activeSessions: 4215, failedAuthentications: 4
[2026-07-29 18:04:07] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.88, activeSessions: 4193, failedAuthentications: 4
[2026-07-29 18:04:17] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.31, activeSessions: 4212, failedAuthentications: 4
[2026-07-29 18:04:27] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.65, activeSessions: 4217, failedAuthentications: 4
[2026-07-29 18:04:37] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.53, activeSessions: 4189, failedAuthentications: 4
[2026-07-29 18:04:47] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.42, activeSessions: 4177, failedAuthentications: 4
[2026-07-29 18:04:57] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.41, activeSessions: 4219, failedAuthentications: 4
[2026-07-29 18:05:07] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.42, activeSessions: 4182, failedAuthentications: 4
[2026-07-29 18:05:17] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.08, activeSessions: 4202, failedAuthentications: 5
[2026-07-29 18:05:27] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.5, activeSessions: 4175, failedAuthentications: 4
[2026-07-29 18:05:37] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.71, activeSessions: 4217, failedAuthentications: 4
[2026-07-29 18:05:47] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.45, activeSessions: 4177, failedAuthentications: 4
[2026-07-29 18:05:57] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.02, activeSessions: 4191, failedAuthentications: 4
[2026-07-30 06:34:31] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.34, activeSessions: 4179, failedAuthentications: 4
