[2026-07-29 18:03:06] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 1.15, jitter: 0.03
[2026-07-29 18:03:16] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 1.87, jitter: 0.28
[2026-07-29 18:03:26] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.82, jitter: 0.28
[2026-07-29 18:03:36] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.48, jitter: 0.28
[2026-07-29 18:03:47] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.39, jitter: 0.38
[2026-07-29 18:03:57] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.91, jitter: 0.4
[2026-07-29 18:04:07] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.73, jitter: -0.07
[2026-07-29 18:04:17] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 1.17, jitter: 0.22
[2026-07-29 18:04:27] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 1.4, jitter: 0.14
[2026-07-29 18:04:37] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.87, jitter: -0.09
[2026-07-29 18:04:47] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 1.15, jitter: 0.39
[2026-07-29 18:04:57] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.92, jitter: 0.4
[2026-07-29 18:05:07] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.76, jitter: 0.03
[2026-07-29 18:05:17] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 1.81, jitter: 0.17
[2026-07-29 18:05:27] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 2.24, jitter: -0.03
[2026-07-29 18:05:37] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 2.14, jitter: 0.15
[2026-07-29 18:05:47] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 1.73, jitter: -0.09
[2026-07-29 18:05:57] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 2.18, jitter: 0.4
[2026-07-30 06:34:31] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.39, jitter: 0.37
[2026-07-30 06:34:41] [INFO] [INFRA_SIMULATOR] network_latency | Status: Healthy | Metrics: packetLoss: 0, latency_ms: 0.53, jitter: -0.05
