[2026-08-05T10:49:30.412Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.06, failedWorkflows: 0, responseTime: 99.44
[2026-08-05T10:49:40.420Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.99, failedWorkflows: 0, responseTime: 95.53
[2026-08-05T10:49:50.443Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.02, failedWorkflows: 0, responseTime: 93.94
[2026-08-05T10:50:00.442Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.89, failedWorkflows: 0, responseTime: 95.62
[2026-08-05T10:50:10.454Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.99, failedWorkflows: 0, responseTime: 93.73
[2026-08-05T10:50:20.435Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.95, failedWorkflows: 0, responseTime: 92.8
[2026-08-05T10:50:30.447Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.06, failedWorkflows: 0, responseTime: 90.9
[2026-08-05T10:50:40.519Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.03, failedWorkflows: 0, responseTime: 96.77
[2026-08-05T10:50:50.484Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.04, failedWorkflows: 0, responseTime: 91.16
[2026-08-05T10:51:00.466Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.02, failedWorkflows: 0, responseTime: 92.05
[2026-08-05T10:51:10.484Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.1, failedWorkflows: 0, responseTime: 91.2
[2026-08-05T10:51:20.513Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.9, failedWorkflows: 0, responseTime: 90.77
[2026-08-05T10:51:30.489Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.94, failedWorkflows: 0, responseTime: 94.74
[2026-08-05T10:51:40.522Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.87, failedWorkflows: 0, responseTime: 97.17
[2026-08-05T10:51:50.543Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.97, failedWorkflows: 0, responseTime: 94.39
[2026-08-05T10:52:00.531Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 2.88, failedWorkflows: 0, responseTime: 93.89
[2026-08-05T10:52:10.559Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.07, failedWorkflows: 0, responseTime: 91.57
[2026-08-05T10:52:20.584Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.1, failedWorkflows: 0, responseTime: 90.6
[2026-08-05T10:52:30.588Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3, failedWorkflows: 0, responseTime: 96.14
[2026-08-05T10:52:40.560Z] [INFO] [APP_REAL] argoworkflows_k8s | Status: Healthy | Metrics: activeWorkflows: 3.15, failedWorkflows: 0, responseTime: 92.49
