[2026-08-05T10:49:10.852Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 1, successRate: 99.57, requests: 32
[2026-08-05T10:49:20.763Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.59, requests: 33
[2026-08-05T10:49:30.792Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.57, requests: 30
[2026-08-05T10:49:40.784Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.59, requests: 32
[2026-08-05T10:49:50.801Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.58, requests: 33
[2026-08-05T10:50:00.821Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.6, requests: 32
[2026-08-05T10:50:10.821Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 1, successRate: 99.57, requests: 30
[2026-08-05T10:50:20.792Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.58, requests: 30
[2026-08-05T10:50:30.812Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.55, requests: 31
[2026-08-05T10:50:40.888Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 1, successRate: 99.59, requests: 32
[2026-08-05T10:50:50.862Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.56, requests: 31
[2026-08-05T10:51:00.837Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.59, requests: 31
[2026-08-05T10:51:10.853Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.57, requests: 31
[2026-08-05T10:51:20.876Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 95, successRate: 99.58, requests: 30
[2026-08-05T10:51:30.856Z] [INFO] [APP_REAL] bitbucket_external | Status: Healthy | Metrics: responseTime: 1, successRate: 99.58, requests: 30
