[2026-08-04 20:18:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:18:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:18:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:18:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:18:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:18:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:19:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:19:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:19:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 6 eps
[2026-08-04 20:19:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:19:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:19:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:20:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:20:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:20:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:20:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:20:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:20:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:21:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:21:15] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:21:25] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
[2026-08-04 20:21:35] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 5 eps
[2026-08-04 20:21:45] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 9 eps
[2026-08-04 20:21:55] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 7 eps
[2026-08-04 20:22:05] [INFO] [DYNATRACE_SIMULATOR] Dynatrace Telemetry Sync - Alerts: 1 | Events: 8 eps
