[2026-08-05T10:51:00.336Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 23.11, memory: 48.87, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:51:00.840Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.15, failures: 0
[2026-08-05T10:51:10.354Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 21, memory: 49.52, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:51:10.857Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.82, failures: 0
[2026-08-05T10:51:20.366Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 22.89, memory: 49.21, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:51:20.879Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 14.67, failures: 0
[2026-08-05T10:51:30.363Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 23.24, memory: 49.33, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:51:30.860Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.7, failures: 0
[2026-08-05T10:51:40.375Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 24.27, memory: 48.41, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:51:40.898Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.77, failures: 0
[2026-08-05T10:51:50.406Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 21.81, memory: 49.51, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:51:50.912Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.58, failures: 0
[2026-08-05T10:52:00.405Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 23.6, memory: 49.44, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:52:00.912Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.86, failures: 0
[2026-08-05T10:52:10.408Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 21.33, memory: 48, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:52:10.939Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.37, failures: 0
[2026-08-05T10:52:20.431Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 22.81, memory: 48.51, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:52:20.960Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.06, failures: 0
[2026-08-05T10:52:30.443Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 22.22, memory: 48.9, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:52:30.962Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 15.31, failures: 0
[2026-08-05T10:52:40.432Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 22.05, memory: 47.61, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:52:40.940Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.57, failures: 0
[2026-08-05T10:52:50.458Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 22.24, memory: 48.53, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:52:50.964Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.93, failures: 0
[2026-08-05T10:53:00.466Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 22.87, memory: 49.01, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:53:01.083Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 2, cpu: 15.15, failures: 0
[2026-08-05T10:53:10.469Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 21.55, memory: 49.26, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
[2026-08-05T10:53:11.050Z] [INFO] [APP_REAL] fortify | Status: Healthy | Metrics: scanQueue: 1, cpu: 14.95, failures: 0
[2026-08-05T10:53:20.476Z] [INFO] [INFRA_REAL] windows_servers | Status: Healthy | Metrics: cpu: 22.99, memory: 47.64, disk: 62.1, fortify_cpu: 18.5, fortify_mem: 32.4, iis_threads: 250, iis_sessions: 1420
