[2026-08-05T10:49:10.864Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.02, latency: 57.24, replicas: 2.88
[2026-08-05T10:49:20.779Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.4, latency: 58.84, replicas: 2.87
[2026-08-05T10:49:30.804Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.33, latency: 57.76, replicas: 2.96
[2026-08-05T10:49:40.800Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.4, latency: 59.15, replicas: 3.05
[2026-08-05T10:49:50.815Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.51, latency: 58.6, replicas: 2.95
[2026-08-05T10:50:00.837Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.63, latency: 58.35, replicas: 3.12
[2026-08-05T10:50:10.835Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.56, latency: 61.16, replicas: 2.85
[2026-08-05T10:50:20.806Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.31, latency: 58.62, replicas: 2.87
[2026-08-05T10:50:30.825Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.47, latency: 60.89, replicas: 2.94
[2026-08-05T10:50:40.901Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.09, latency: 57.7, replicas: 2.98
[2026-08-05T10:50:50.877Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.05, latency: 60.12, replicas: 3.07
[2026-08-05T10:51:00.852Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.74, latency: 58.79, replicas: 3.1
[2026-08-05T10:51:10.866Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.88, latency: 58.35, replicas: 3.08
[2026-08-05T10:51:20.890Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.3, latency: 60.82, replicas: 2.94
[2026-08-05T10:51:30.872Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.77, latency: 60.96, replicas: 3.08
[2026-08-05T10:51:40.910Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.05, latency: 58.19, replicas: 2.96
[2026-08-05T10:51:50.923Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.83, latency: 61.92, replicas: 3.08
[2026-08-05T10:52:00.923Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.39, latency: 60.16, replicas: 3.15
[2026-08-05T10:52:10.950Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.42, latency: 58.87, replicas: 3.01
[2026-08-05T10:52:20.971Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.35, latency: 58.65, replicas: 3
[2026-08-05T10:52:30.974Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.35, latency: 62.66, replicas: 2.86
[2026-08-05T10:52:40.952Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.62, latency: 62.8, replicas: 3.09
[2026-08-05T10:52:50.976Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.24, latency: 59.72, replicas: 2.94
[2026-08-05T10:53:01.098Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.51, latency: 58.84, replicas: 2.95
[2026-08-05T10:53:11.065Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.78, latency: 57.43, replicas: 2.91
[2026-08-05T10:53:21.089Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.13, latency: 61.03, replicas: 3.02
[2026-08-05T10:53:32.995Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.54, latency: 58.07, replicas: 3.02
[2026-08-05T10:53:42.945Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.82, latency: 61.55, replicas: 2.99
[2026-08-05T10:53:53.014Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.05, latency: 57.42, replicas: 2.88
[2026-08-05T10:54:02.936Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.69, latency: 61.56, replicas: 3.07
[2026-08-05T10:54:12.956Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.82, latency: 58.62, replicas: 3.13
[2026-08-05T10:54:22.949Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.51, latency: 60.6, replicas: 2.87
[2026-08-05T10:54:32.975Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.47, latency: 62.82, replicas: 3.12
[2026-08-05T10:54:42.979Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.5, latency: 61.93, replicas: 2.92
[2026-08-05T10:54:52.994Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.99, latency: 60.55, replicas: 2.85
[2026-08-05T10:55:03.010Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.44, latency: 58.93, replicas: 2.88
[2026-08-05T10:55:13.063Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.97, latency: 57.04, replicas: 2.96
[2026-08-05T10:55:23.044Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.38, latency: 62.52, replicas: 3.13
[2026-08-05T10:55:33.014Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.2, latency: 59.5, replicas: 3.11
[2026-08-05T10:55:43.268Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.49, latency: 60.75, replicas: 3.06
[2026-08-05T10:55:59.966Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.34, latency: 60.1, replicas: 2.92
[2026-08-05T10:56:09.837Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.6, latency: 59.17, replicas: 2.92
[2026-08-05T10:56:19.813Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.97, latency: 61.9, replicas: 3.15
[2026-08-05T10:56:29.820Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.34, latency: 60.32, replicas: 3.11
[2026-08-05T10:56:39.792Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.41, latency: 58.55, replicas: 3.09
[2026-08-05T10:56:49.841Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.79, latency: 62.45, replicas: 3.07
[2026-08-05T10:56:59.869Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.71, latency: 59.5, replicas: 2.99
[2026-08-05T10:57:09.844Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.56, latency: 59.47, replicas: 2.99
[2026-08-05T10:57:19.883Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.26, latency: 61.53, replicas: 2.94
[2026-08-05T10:57:29.874Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.2, latency: 57.12, replicas: 3.11
[2026-08-05T10:57:40.105Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.87, latency: 58.24, replicas: 3.08
[2026-08-05T10:57:52.590Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.49, latency: 60.43, replicas: 2.98
[2026-08-05T10:58:02.503Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.39, latency: 59.14, replicas: 3.09
[2026-08-05T10:58:12.502Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.3, latency: 61.35, replicas: 3.12
[2026-08-05T10:58:22.633Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.38, latency: 60.62, replicas: 3.04
[2026-08-05T10:58:32.514Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.48, latency: 62.94, replicas: 3.11
[2026-08-05T10:58:42.536Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.35, latency: 57.05, replicas: 2.9
[2026-08-05T10:58:52.560Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.11, latency: 58.53, replicas: 2.86
[2026-08-05T10:59:02.682Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 27.4, latency: 62.41, replicas: 3.14
[2026-08-05T10:59:12.547Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.78, latency: 58.68, replicas: 2.98
[2026-08-05T10:59:22.695Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.43, latency: 62.21, replicas: 2.96
[2026-08-05T10:59:32.571Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.49, latency: 60.48, replicas: 3.11
[2026-08-05T10:59:42.580Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 29.68, latency: 57.78, replicas: 2.9
[2026-08-05T10:59:52.724Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.78, latency: 57.62, replicas: 2.96
[2026-08-05T11:00:02.710Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.33, latency: 60.93, replicas: 3.11
[2026-08-05T11:00:12.613Z] [INFO] [APP_REAL] mcp_server_k8s | Status: Healthy | Metrics: cpu: 28.72, latency: 58.31, replicas: 2.87
