[2026-08-05T10:46:46.030Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 156
[2026-08-05T10:46:56.103Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 156
[2026-08-05T10:47:06.061Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 155
[2026-08-05T10:47:16.105Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 161
[2026-08-05T10:47:26.137Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 163
[2026-08-05T10:47:36.177Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 161
[2026-08-05T10:47:46.190Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 155
[2026-08-05T10:47:55.951Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 9, responseTime: 162
[2026-08-05T10:48:05.953Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 158
[2026-08-05T10:48:16.020Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 6, responseTime: 156
[2026-08-05T10:48:26.043Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 156
[2026-08-05T10:48:36.208Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 158
[2026-08-05T10:48:46.139Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 156
[2026-08-05T10:49:00.979Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 163
[2026-08-05T10:49:10.872Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 155
[2026-08-05T10:49:20.787Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 158
[2026-08-05T10:49:30.812Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 157
[2026-08-05T10:49:40.809Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 6, responseTime: 161
[2026-08-05T10:49:50.823Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 163
[2026-08-05T10:50:00.845Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 164
[2026-08-05T10:50:10.844Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 161
[2026-08-05T10:50:20.814Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 156
[2026-08-05T10:50:30.833Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 157
[2026-08-05T10:50:40.909Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 158
[2026-08-05T10:50:50.884Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 162
[2026-08-05T10:51:00.860Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 156
[2026-08-05T10:51:10.874Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 164
[2026-08-05T10:51:20.898Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 158
[2026-08-05T10:51:30.881Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 9, responseTime: 158
[2026-08-05T10:51:40.917Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 159
[2026-08-05T10:51:50.930Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 163
[2026-08-05T10:52:00.932Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 161
[2026-08-05T10:52:10.958Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 163
[2026-08-05T10:52:20.979Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 158
[2026-08-05T10:52:30.984Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 161
[2026-08-05T10:52:40.961Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 159
[2026-08-05T10:52:50.984Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 164
[2026-08-05T10:53:01.108Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 8, responseTime: 158
[2026-08-05T10:53:11.074Z] [INFO] [APP_REAL] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 164
