[2026-08-04 20:18:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.54, activeSessions: 4189, failedAuthentications: 4
[2026-08-04 20:18:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.26, activeSessions: 4179, failedAuthentications: 4
[2026-08-04 20:18:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.95, activeSessions: 4217, failedAuthentications: 4
[2026-08-04 20:18:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.51, activeSessions: 4197, failedAuthentications: 4
[2026-08-04 20:18:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.01, activeSessions: 4188, failedAuthentications: 4
[2026-08-04 20:18:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.24, activeSessions: 4206, failedAuthentications: 4
[2026-08-04 20:19:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.06, activeSessions: 4221, failedAuthentications: 4
[2026-08-04 20:19:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.92, activeSessions: 4209, failedAuthentications: 4
[2026-08-04 20:19:25] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.08, activeSessions: 4224, failedAuthentications: 4
[2026-08-04 20:19:35] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 118.3, activeSessions: 4204, failedAuthentications: 4
[2026-08-04 20:19:45] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 119.02, activeSessions: 4183, failedAuthentications: 4
[2026-08-04 20:19:55] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 121.61, activeSessions: 4198, failedAuthentications: 4
[2026-08-04 20:20:05] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 120.78, activeSessions: 4194, failedAuthentications: 4
[2026-08-04 20:20:15] [INFO] [INFRA_SIMULATOR] sso_gateway | Status: Healthy | Metrics: authLatency: 122.6, activeSessions: 4187, failedAuthentications: 4
