[2026-08-04 20:26:25] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 8, responseTime: 161
[2026-08-04 20:26:25] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 459, throughput: 120
[2026-08-04 20:26:35] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 3, findings: 8, responseTime: 164
[2026-08-04 20:26:35] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 456, throughput: 120
[2026-08-04 20:26:45] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 7, responseTime: 155
[2026-08-04 20:26:45] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 440, throughput: 123
[2026-08-04 20:26:55] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 9, responseTime: 165
[2026-08-04 20:26:55] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 440, throughput: 121
[2026-08-04 20:27:05] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 0, findings: 6, responseTime: 156
[2026-08-04 20:27:05] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 4, avgResponseTime: 456, throughput: 116
[2026-08-04 20:27:15] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 162
[2026-08-04 20:27:15] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 441, throughput: 119
[2026-08-04 20:27:25] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 0, findings: 9, responseTime: 165
[2026-08-04 20:27:25] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 456, throughput: 120
[2026-08-04 20:27:35] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 162
[2026-08-04 20:27:35] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 3, avgResponseTime: 458, throughput: 116
[2026-08-04 20:27:45] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 3, findings: 7, responseTime: 164
[2026-08-04 20:27:45] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 446, throughput: 123
[2026-08-04 20:27:55] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 1, findings: 7, responseTime: 153
[2026-08-04 20:27:55] [INFO] [APP_SIMULATOR] performance_center | Status: Healthy | Metrics: activeTests: 5, avgResponseTime: 456, throughput: 121
[2026-08-04 20:28:05] [INFO] [APP_SIMULATOR] otkr | Status: Healthy | Metrics: scanQueue: 2, findings: 6, responseTime: 159
